,album_id,artist,album,track_id,title,spotify_id
0,118668,Agoria,Sky Is Clear / Kofea,118668_A,Kofea,4eYR7I1PyTGfBZgMrbvxSs
1,118668,Agoria,Sky Is Clear / Kofea,118668_B,Sky Is Clear,6Rd93PqoqRrF34M7Q0m8Vy
2,2469079,Agnes Obel,Philharmonics,2469079_A1,"Falling, Catching",0vRi3keQBMlYNwU66GCeU4
3,2469079,Agnes Obel,Philharmonics,2469079_A2,Riverside,7iHl6LcHD94l5VpmfrBUmG
4,2469079,Agnes Obel,Philharmonics,2469079_A3,Brother Sparrow,6cWotAT4XRc5BO4aw6GjRt
5,2469079,Agnes Obel,Philharmonics,2469079_A4,Just So,0EigbXcb1YCj9EN4o2l7eP
6,2469079,Agnes Obel,Philharmonics,2469079_A5,Beast,1sCXZEvJi3aLYQs7KCYQWi
7,2469079,Agnes Obel,Philharmonics,2469079_A6,Louretta,61mvVPKyIyMOY4zTNafGYq
8,2469079,Agnes Obel,Philharmonics,2469079_B7,Avenue,0IccVMAPsoJhl6ZyqXcex4
9,2469079,Agnes Obel,Philharmonics,2469079_B8,Philharmonics,2t1r7TphBReVsE5Nglq7sn
10,2469079,Agnes Obel,Philharmonics,2469079_B9,Close Watch,3AJ0SQCnJbygvdr2E2e74k
11,2469079,Agnes Obel,Philharmonics,2469079_B10,Wallflower,3KFoMmeTq0hC1uru0pFMjI
12,2469079,Agnes Obel,Philharmonics,2469079_B11,Over The Hill,2hSGNky2r41jS14NzhWMaD
13,2469079,Agnes Obel,Philharmonics,2469079_B12,On Powdered Ground,40fDWVRh2RdFxwlX3u2wQu
15,917960,Le Peuple De L'Herbe,Cube,917960_A2,Mission,0IP38HJr9fRu4FAYaQmExD
16,917960,Le Peuple De L'Herbe,Cube,917960_A3,Kin Sapalot,3uyRKyYvpGHsj7WMzNNFvz
17,917960,Le Peuple De L'Herbe,Cube,917960_B1,Adventure,3XKpZkmKi1LBj3F1dnC03a
18,917960,Le Peuple De L'Herbe,Cube,917960_B2,Keep Rockin,7C99aCiG3q7OsHOictB46y
19,917960,Le Peuple De L'Herbe,Cube,917960_C1,El Paso,5fzD8jqugBDLEeRip36TWb
20,917960,Le Peuple De L'Herbe,Cube,917960_C3,Down by Law,0zqR0twOiBLgXFs0JbYq1d
21,917960,Le Peuple De L'Herbe,Cube,917960_D1,La Musique Electronique,3jnDNDcexPtV1wkIT9FYLc
22,917960,Le Peuple De L'Herbe,Cube,917960_D2,Honesty,5Ib5cAxwZluFyk6HqeMEvP
23,917960,Le Peuple De L'Herbe,Cube,917960_D3,Gumzilla,29SNmZsDVaM2cWv7USJlRN
24,5516756,Gene Chandler,Get Down,5516756_A1,Get Down,165zEDUBYwXS8mBDIOroXP
25,5516756,Gene Chandler,Get Down,5516756_A2,Please Sunrise,5zBw75PDGgQfU52M7R3C7N
26,5516756,Gene Chandler,Get Down,5516756_A3,Tomorrow I May Not Feel The Same,3b0kLjrrg7TB2HTb0SnreO
27,5516756,Gene Chandler,Get Down,5516756_B2,Greatest Love Ever Known,4KOkiPmWDe4Fhr5GarBBBV
29,5516756,Gene Chandler,Get Down,5516756_B4,What Now,4KrW0sheyZQljHgHGUxXQn
30,5516756,Gene Chandler,Get Down,5516756_B5,Lovequake,35SnVd0ieFS3LM6rMlnB5e
31,12631866,Tricky,Maxinquaye,12631866_A1,Overcome,0tYEsmdrsv5Fi3UOn58bou
32,12631866,Tricky,Maxinquaye,12631866_A2,Ponderosa,3USAAb0W0n99SOensmme2D
33,12631866,Tricky,Maxinquaye,12631866_A3,Black Steel,52QqxUwMHSmeDZlZBABefY
34,12631866,Tricky,Maxinquaye,12631866_A4,Hell Is Round The Corner,2wC0qK8JN6gblb0ZJzE2d9
35,12631866,Tricky,Maxinquaye,12631866_A5,Pumpkin,1MiVlLMCKrMV0uikVZK2Za
36,12631866,Tricky,Maxinquaye,12631866_A6,Aftermath,4wcWI3GEtaGm38dbdDFbyI
37,12631866,Tricky,Maxinquaye,12631866_B1,Abbaon Fat Tracks,4EGO2fsS5KL1Ump7b66MNv
38,12631866,Tricky,Maxinquaye,12631866_B3,Suffocated Love,5XHV3c5quXJnRTeHcUhVxC
39,12631866,Tricky,Maxinquaye,12631866_B6,Feed Me,57EBP45a1DoRE4Tq7hXG4f
40,14724778,Casey,Tragédie D'Une Trajectoire,14724778_A2,Pas À Vendre,3OcVu2baoczycMot2muy45
41,14724778,Casey,Tragédie D'Une Trajectoire,14724778_A3,Qui Sont-Ils ?,3IxJ7IwYnY6l1Vlvh1cwlw
42,14724778,Casey,Tragédie D'Une Trajectoire,14724778_B1,Chez Moi,71vYhXCmFlerZimSYCW7G4
43,14724778,Casey,Tragédie D'Une Trajectoire,14724778_B2,Une Lame Dans Ma Veste,1WwzchbpGhLG73z2mym9SS
44,14724778,Casey,Tragédie D'Une Trajectoire,14724778_B3,Suis Ma Plume,45lw8WAwl5TtxnN6xSzB1k
45,14724778,Casey,Tragédie D'Une Trajectoire,14724778_C1,Mourir Con,1GAoJTG918F1Gj18RucNJ2
46,14724778,Casey,Tragédie D'Une Trajectoire,14724778_C2,Ma Haine,79NvWA4BekKdrH8J12ulTM
47,14724778,Casey,Tragédie D'Une Trajectoire,14724778_C3,Banlieue Nord,0bUq3A8DRoFU7iDnW8CjKj
48,14724778,Casey,Tragédie D'Une Trajectoire,14724778_D1,On Ne Présente Plus La Famille,1NAsKnCd7fh26G2J2hTT5n
49,14724778,Casey,Tragédie D'Une Trajectoire,14724778_D2,Je Lutte,6mAADVPf7GvOr2xZOeemtP
